month,borough,day_type,trip_type,route_id,period,total_operating_time,total_mileage,average_speed
2025-01-01,Bronx,1,LCL/LTD,BX19,Peak,4384782,22800492,5.2
2025-01-01,Bronx,2,LCL/LTD,BX19,Off-Peak,2570861,16211066,6.31
2025-01-01,Bronx,2,LCL/LTD,BX19,Peak,1080873,6582704,6.09
2025-01-01,Bronx,1,LCL/LTD,BX2,Off-Peak,9094049,51458702,5.66
2025-01-01,Bronx,1,LCL/LTD,BX2,Peak,4859992,27135461,5.58
2025-01-01,Bronx,2,LCL/LTD,BX2,Off-Peak,1760476,10973088,6.23
2025-01-01,Bronx,2,LCL/LTD,BX2,Peak,794077,5057827,6.37
2025-01-01,Bronx,1,LCL/LTD,BX20,Off-Peak,138056,1160939,8.41
2025-01-01,Bronx,1,LCL/LTD,BX20,Peak,692535,5320426,7.68
2025-01-01,Bronx,1,LCL/LTD,BX21,Off-Peak,8828592,62610214,7.09
2025-01-01,Bronx,1,LCL/LTD,BX21,Peak,3914652,24539728,6.27
2025-01-01,Bronx,2,LCL/LTD,BX21,Off-Peak,1680367,13622947,8.11
2025-01-01,Bronx,2,LCL/LTD,BX21,Peak,603402,4735732,7.85
2025-01-01,Bronx,1,LCL/LTD,BX22,Off-Peak,7310532,48670574,6.66
2025-01-01,Bronx,1,LCL/LTD,BX22,Peak,4402060,26782218,6.08
2025-01-01,Bronx,2,LCL/LTD,BX22,Off-Peak,1417637,10297750,7.26
2025-01-01,Bronx,2,LCL/LTD,BX22,Peak,518109,3596288,6.94
2025-01-01,Bronx,1,LCL/LTD,BX23,Off-Peak,2934329,34823052,11.87
2025-01-01,Bronx,1,LCL/LTD,BX23,Peak,3332858,37934568,11.38
2025-01-01,Bronx,2,LCL/LTD,BX23,Off-Peak,658528,7935206,12.05
2025-01-01,Bronx,2,LCL/LTD,BX23,Peak,281388,3257417,11.58
2025-01-01,Bronx,1,LCL/LTD,BX24,Off-Peak,1477180,13854197,9.38
2025-01-01,Bronx,1,LCL/LTD,BX24,Peak,575476,4940827,8.59
2025-01-01,Bronx,2,LCL/LTD,BX24,Off-Peak,378616,3975336,10.5
2025-01-01,Bronx,2,LCL/LTD,BX24,Peak,125344,1262675,10.07
2025-01-01,Bronx,1,LCL/LTD,BX25,Off-Peak,2856493,23476165,8.22
2025-01-01,Bronx,1,LCL/LTD,BX25,Peak,1444521,10948356,7.58
2025-01-01,Bronx,2,LCL/LTD,BX25,Off-Peak,653328,5788681,8.86
2025-01-01,Bronx,2,LCL/LTD,BX25,Peak,285415,2490656,8.73
2025-01-01,Bronx,1,LCL/LTD,BX26,Off-Peak,2709106,20278966,7.49
2025-01-01,Bronx,1,LCL/LTD,BX26,Peak,1463355,9856123,6.74
2025-01-01,Bronx,2,LCL/LTD,BX26,Off-Peak,594766,4667976,7.85
2025-01-01,Bronx,2,LCL/LTD,BX26,Peak,281111,2182356,7.76
2025-01-01,Bronx,1,LCL/LTD,BX27,Off-Peak,3087274,22745484,7.37
2025-01-01,Bronx,1,LCL/LTD,BX27,Peak,1677912,11354638,6.77
2025-01-01,Bronx,2,LCL/LTD,BX27,Off-Peak,654586,4981860,7.61
2025-01-01,Bronx,2,LCL/LTD,BX27,Peak,261217,2062040,7.89
2025-01-01,Bronx,1,LCL/LTD,BX28,Off-Peak,7907503,57753792,7.3
2025-01-01,Bronx,1,LCL/LTD,BX28,Peak,3440960,22272833,6.47
2025-01-01,Bronx,2,LCL/LTD,BX28,Off-Peak,1608209,13301183,8.27
2025-01-01,Bronx,2,LCL/LTD,BX28,Peak,566000,4331596,7.65
2025-01-01,Bronx,1,LCL/LTD,BX29,Off-Peak,1158310,18103230,15.63
2025-01-01,Bronx,1,LCL/LTD,BX29,Peak,594892,9043196,15.2
2025-01-01,Bronx,2,LCL/LTD,BX29,Off-Peak,373118,5992153,16.06
2025-01-01,Bronx,2,LCL/LTD,BX29,Peak,109454,1751728,16
2025-01-01,Bronx,1,LCL/LTD,BX3,Off-Peak,6748051,54048114,8.01
2025-01-01,Bronx,1,LCL/LTD,BX3,Peak,3374487,23808341,7.06
2025-01-01,Bronx,2,LCL/LTD,BX3,Off-Peak,1732258,14391760,8.31
2025-01-01,Bronx,2,LCL/LTD,BX3,Peak,774602,6167858,7.96
2025-01-01,Bronx,1,LCL/LTD,BX30,Off-Peak,5855717,49186145,8.4
2025-01-01,Bronx,1,LCL/LTD,BX30,Peak,3598201,29203657,8.12
2025-01-01,Bronx,2,LCL/LTD,BX30,Off-Peak,1207948,10411315,8.62
2025-01-01,Bronx,2,LCL/LTD,BX30,Peak,591095,4925617,8.33
2025-01-01,Bronx,1,LCL/LTD,BX31,Off-Peak,6036238,48628184,8.06
2025-01-01,Bronx,1,LCL/LTD,BX31,Peak,3039625,22376099,7.36
2025-01-01,Bronx,2,LCL/LTD,BX31,Off-Peak,1158601,10418587,8.99
2025-01-01,Bronx,2,LCL/LTD,BX31,Peak,463667,4091789,8.82
2025-01-01,Bronx,1,LCL/LTD,BX32,Off-Peak,4523414,27207958,6.01
2025-01-01,Bronx,1,LCL/LTD,BX32,Peak,2574949,13989524,5.43
2025-01-01,Bronx,2,LCL/LTD,BX32,Off-Peak,635180,4313678,6.79
2025-01-01,Bronx,2,LCL/LTD,BX32,Peak,276641,1848380,6.68
2025-01-01,Bronx,1,LCL/LTD,BX33,Off-Peak,1729917,12832470,7.42
2025-01-01,Bronx,1,LCL/LTD,BX33,Peak,950339,5613145,5.91
2025-01-01,Bronx,2,LCL/LTD,BX33,Off-Peak,277931,2239621,8.06
2025-01-01,Bronx,2,LCL/LTD,BX33,Peak,123837,966196.8,7.8
2025-01-01,Bronx,1,LCL/LTD,BX34,Off-Peak,2718286,21970004,8.08
2025-01-01,Bronx,1,LCL/LTD,BX34,Peak,1366073,9698422,7.1
2025-01-01,Bronx,2,LCL/LTD,BX34,Off-Peak,533399,4836236,9.07
2025-01-01,Bronx,2,LCL/LTD,BX34,Peak,223193,1980292,8.87
2025-01-01,Bronx,1,LCL/LTD,BX35,Off-Peak,7157574,42124914,5.89
2025-01-01,Bronx,1,LCL/LTD,BX35,Peak,3331681,16766089,5.03
2025-01-01,Bronx,2,LCL/LTD,BX35,Off-Peak,1534593,9967651,6.5
2025-01-01,Bronx,2,LCL/LTD,BX35,Peak,612791,3792215,6.19
2025-01-01,Bronx,1,LCL/LTD,BX36,Off-Peak,13142534,84517798,6.43
2025-01-01,Bronx,1,LCL/LTD,BX36,Peak,6140913,37681985,6.14
2025-01-01,Bronx,2,LCL/LTD,BX36,Off-Peak,2932510,20450221,6.97
2025-01-01,Bronx,2,LCL/LTD,BX36,Peak,1115290,7460100,6.69
2025-01-01,Bronx,1,LCL/LTD,BX38,Off-Peak,4054120,29978392,7.39
2025-01-01,Bronx,1,LCL/LTD,BX38,Peak,2328686,16640568,7.15
2025-01-01,Bronx,2,LCL/LTD,BX38,Off-Peak,832621,6907338,8.3
2025-01-01,Bronx,2,LCL/LTD,BX38,Peak,372152,3119429,8.38
2025-01-01,Bronx,1,LCL/LTD,BX39,Off-Peak,7207022,49566172,6.88
2025-01-01,Bronx,1,LCL/LTD,BX39,Peak,3719922,23805209,6.4
2025-01-01,Bronx,2,LCL/LTD,BX39,Off-Peak,1832202,13437266,7.33
2025-01-01,Bronx,2,LCL/LTD,BX39,Peak,854183,6103267,7.15
2025-01-01,Bronx,1,LCL/LTD,BX4,Off-Peak,4369799,28194275,6.45
2025-01-01,Bronx,1,LCL/LTD,BX4,Peak,2167768,12825108,5.92
2025-01-01,Bronx,2,LCL/LTD,BX4,Off-Peak,828730,5699232,6.88
2025-01-01,Bronx,2,LCL/LTD,BX4,Peak,366683,2470032,6.74
2025-01-01,Bronx,1,LCL/LTD,BX40,Off-Peak,6166504,44170974,7.16
2025-01-01,Bronx,1,LCL/LTD,BX40,Peak,2284308,14807491,6.48
2025-01-01,Bronx,2,LCL/LTD,BX40,Off-Peak,1295345,10101593,7.8
2025-01-01,Bronx,2,LCL/LTD,BX40,Peak,435795,3177122,7.29
2025-01-01,Bronx,1,LCL/LTD,BX41,Off-Peak,5765881,46004321,7.98
2025-01-01,Bronx,1,LCL/LTD,BX41,Peak,2335430,16586525,7.1
2025-01-01,Bronx,2,LCL/LTD,BX41,Off-Peak,1630131,13598165,8.34
2025-01-01,Bronx,2,LCL/LTD,BX41,Peak,637691,5045119,7.91
2025-01-01,Bronx,1,SBS,BX41+,Off-Peak,5123152,46565982,9.09
2025-01-01,Bronx,1,SBS,BX41+,Peak,2311710,20380374,8.82
2025-01-01,Bronx,2,SBS,BX41+,Off-Peak,1058708,10473484,9.89
2025-01-01,Bronx,2,SBS,BX41+,Peak,518398,5107018,9.85
2025-01-01,Bronx,1,LCL/LTD,BX42,Off-Peak,6338019,43996543,6.94
2025-01-01,Bronx,1,LCL/LTD,BX42,Peak,2656103,17280619,6.51
2025-01-01,Bronx,2,LCL/LTD,BX42,Off-Peak,1335949,9848851,7.37
2025-01-01,Bronx,2,LCL/LTD,BX42,Peak,540470,3958985,7.33
2025-01-01,Bronx,1,LCL/LTD,BX46,Off-Peak,587702,6567804,11.18
2025-01-01,Bronx,1,LCL/LTD,BX46,Peak,242150,2455920,10.14
2025-01-01,Bronx,2,LCL/LTD,BX46,Off-Peak,158841,1883704,11.86
2025-01-01,Bronx,2,LCL/LTD,BX46,Peak,47975,516261.6,10.76
2025-01-01,Bronx,1,LCL/LTD,BX4A,Off-Peak,3049240,19596154,6.43
2025-01-01,Bronx,1,LCL/LTD,BX4A,Peak,1660165,9976727,6.01
2025-01-01,Bronx,2,LCL/LTD,BX4A,Off-Peak,638653,4300160,6.73
2025-01-01,Bronx,2,LCL/LTD,BX4A,Peak,259493,1723000,6.64
2025-01-01,Bronx,1,LCL/LTD,BX5,Off-Peak,4983730,46505318,9.33
2025-01-01,Bronx,1,LCL/LTD,BX5,Peak,3023782,24677867,8.16
