ResponseTimestamp,VehicleRef,Latitude,Longitude,Destination,Origin
2024-04-10T13:21:12.840-04:00,MTA NYCT_9568,40.774114,-73.96582,SOHO CENTRE ST via 5 AV/ via BROADWAY,MTA_405284
2024-04-10T13:21:43.451-04:00,MTA NYCT_9492,40.720466,-73.997924,SOHO CENTRE ST via 5 AV/ via BROADWAY,MTA_405284
2024-04-10T13:21:43.451-04:00,MTA NYCT_9486,40.730114,-73.991281,EAST VILLAGE 8 ST via 5 AV,MTA_405284
2024-04-10T13:21:43.451-04:00,MTA NYCT_9562,40.804738,-73.941434,HARLEM 147 ST via MADISON AV,MTA_400080
2024-04-10T13:21:43.451-04:00,MTA NYCT_9469,40.803,-73.94475,SOHO CENTRE ST via 5 AV/ via BROADWAY,MTA_405284
2024-04-10T13:21:43.451-04:00,MTA NYCT_9462,40.821309,-73.936221,HARLEM 147 ST via MADISON AV,MTA_400080
2024-04-10T13:21:43.451-04:00,MTA NYCT_9564,40.75628,-73.97884,SOHO CENTRE ST via 5 AV/ via BROADWAY,MTA_405284
2024-04-10T13:21:43.451-04:00,MTA NYCT_9468,40.7786,-73.960456,HARLEM 147 ST via MADISON AV,MTA_400080
2024-04-10T13:21:43.451-04:00,MTA NYCT_9490,40.762322,-73.97233,HARLEM 147 ST via MADISON AV,MTA_405527
2024-04-10T13:21:43.451-04:00,MTA NYCT_9493,40.789699,-73.95236,HARLEM 147 ST via MADISON AV,MTA_405527
2024-04-10T13:21:43.451-04:00,MTA NYCT_9498,40.75266,-73.97939,HARLEM 147 ST via MADISON AV,MTA_400080
2024-04-10T13:21:43.451-04:00,MTA NYCT_9485,40.736409,-73.993317,EAST VILLAGE 8 ST via 5 AV,MTA_405284
2024-04-10T13:21:43.451-04:00,MTA NYCT_9579,40.812548,-73.937195,HARLEM 147 ST via MADISON AV,MTA_400080
2024-04-10T13:21:43.451-04:00,MTA NYCT_9476,40.765241,-73.972294,EAST VILLAGE 8 ST via 5 AV,MTA_405284
2024-04-10T13:21:43.451-04:00,MTA NYCT_9487,40.792546,-73.95237,EAST VILLAGE 8 ST via 5 AV,MTA_405284
2024-04-10T13:21:43.451-04:00,MTA NYCT_9585,40.744306,-73.985473,HARLEM 147 ST via MADISON AV,MTA_405527
2024-04-10T13:21:43.451-04:00,MTA NYCT_9566,40.81711,-73.938562,HARLEM 147 ST via MADISON AV,MTA_400080
2024-04-10T13:21:43.451-04:00,MTA NYCT_9467,40.791208,-73.953352,SOHO CENTRE ST via 5 AV/ via BROADWAY,MTA_405284
2024-04-10T13:21:43.451-04:00,MTA NYCT_9568,40.774114,-73.96582,SOHO CENTRE ST via 5 AV/ via BROADWAY,MTA_405284
2024-04-10T13:22:14.027-04:00,MTA NYCT_9492,40.720466,-73.997924,SOHO CENTRE ST via 5 AV/ via BROADWAY,MTA_405284
2024-04-10T13:22:14.027-04:00,MTA NYCT_9486,40.730114,-73.991281,EAST VILLAGE 8 ST via 5 AV,MTA_405284
2024-04-10T13:22:14.027-04:00,MTA NYCT_9493,40.790302,-73.951919,HARLEM 147 ST via MADISON AV,MTA_405527
2024-04-10T13:22:14.027-04:00,MTA NYCT_9462,40.821285,-73.936165,HARLEM 147 ST via MADISON AV,MTA_400080
2024-04-10T13:22:14.027-04:00,MTA NYCT_9498,40.753212,-73.978975,HARLEM 147 ST via MADISON AV,MTA_400080
2024-04-10T13:22:14.027-04:00,MTA NYCT_9468,40.7786,-73.960456,HARLEM 147 ST via MADISON AV,MTA_400080
2024-04-10T13:22:14.027-04:00,MTA NYCT_9485,40.736254,-73.993429,EAST VILLAGE 8 ST via 5 AV,MTA_405284
2024-04-10T13:22:14.027-04:00,MTA NYCT_9491,40.820935,-73.935948,EAST VILLAGE 8 ST via 5 AV,MTA_405284
2024-04-10T13:22:14.027-04:00,MTA NYCT_9499,40.721762,-73.997312,HARLEM 147 ST via MADISON AV,MTA_400080
2024-04-10T13:22:14.027-04:00,MTA NYCT_9564,40.755648,-73.979304,SOHO CENTRE ST via 5 AV/ via BROADWAY,MTA_405284
2024-04-10T13:22:14.027-04:00,MTA NYCT_9476,40.765214,-73.972313,EAST VILLAGE 8 ST via 5 AV,MTA_405284
2024-04-10T13:22:14.027-04:00,MTA NYCT_9487,40.792373,-73.952496,EAST VILLAGE 8 ST via 5 AV,MTA_405284
2024-04-10T13:22:14.027-04:00,MTA NYCT_9469,40.802848,-73.944861,SOHO CENTRE ST via 5 AV/ via BROADWAY,MTA_405284
2024-04-10T13:22:14.027-04:00,MTA NYCT_9585,40.744321,-73.985462,HARLEM 147 ST via MADISON AV,MTA_405527
2024-04-10T13:22:14.027-04:00,MTA NYCT_9562,40.804823,-73.941372,HARLEM 147 ST via MADISON AV,MTA_400080
2024-04-10T13:22:14.027-04:00,MTA NYCT_9579,40.813208,-73.93729,HARLEM 147 ST via MADISON AV,MTA_400080
2024-04-10T13:22:14.027-04:00,MTA NYCT_9568,40.773197,-73.966491,SOHO CENTRE ST via 5 AV/ via BROADWAY,MTA_405284
2024-04-10T13:22:14.027-04:00,MTA NYCT_9566,40.817152,-73.938532,HARLEM 147 ST via MADISON AV,MTA_400080
2024-04-10T13:22:14.027-04:00,MTA NYCT_9490,40.762877,-73.971924,HARLEM 147 ST via MADISON AV,MTA_405527
2024-04-10T13:22:14.027-04:00,MTA NYCT_9467,40.791155,-73.953392,SOHO CENTRE ST via 5 AV/ via BROADWAY,MTA_405284
2024-04-10T13:22:44.915-04:00,MTA NYCT_9492,40.720466,-73.997924,SOHO CENTRE ST via 5 AV/ via BROADWAY,MTA_405284
2024-04-10T13:22:44.915-04:00,MTA NYCT_9486,40.730114,-73.991281,EAST VILLAGE 8 ST via 5 AV,MTA_405284
2024-04-10T13:22:44.915-04:00,MTA NYCT_9493,40.790322,-73.951905,HARLEM 147 ST via MADISON AV,MTA_405527
2024-04-10T13:22:44.915-04:00,MTA NYCT_9468,40.778649,-73.960421,HARLEM 147 ST via MADISON AV,MTA_400080
2024-04-10T13:22:44.915-04:00,MTA NYCT_9568,40.771976,-73.967387,SOHO CENTRE ST via 5 AV/ via BROADWAY,MTA_405284
2024-04-10T13:22:44.915-04:00,MTA NYCT_9476,40.764626,-73.972761,EAST VILLAGE 8 ST via 5 AV,MTA_405284
